	Instructions Kept	Instructions Dropped	Preference Probability MAE with Uniform Approach	Preference Probability MAE with Dirichlet Approach
14	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.0639564603164489	0.01570006544836615
50	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.060842992259265725	0.01615480563819678
106	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.08304532105835127	0.016154805638196785
91	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.08231197723059216	0.01677363440249913
35	"Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.05988132674653793	0.016773634402499134
140	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.07199598998478106	0.016946329882151057
90	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should attempt to provide an answer for tasks that are operational for a computer.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.07434476117059177	0.01697911792648151
34	"Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.04945382584441234	0.016979117926481515
49	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.050404333700685526	0.017009280937827546
105	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"Try not to respond with ""I'm not sure"".
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.0750742201854459	0.017009280937827546
13	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.05350023523614014	0.01706470933594874
17	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.07225981548167681	0.01714750856637495
15	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should talk like a British lord."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06872591846419221	0.017212900008306206
141	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.07995522997544445	0.01723653965042803
16	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should use speech patterns common in Victorian literature."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use formal speech from 19th century English."	0.0653607544581507	0.01733982944878779
53	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.06912537819720703	0.017507783956531516
109	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.08934650911618248	0.01750778395653152
51	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should talk like a British lord."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06558628357031444	0.017605184475166246
107	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should talk like a British lord."	"Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.08662714240291672	0.017605184475166246
108	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use speech patterns common in Victorian literature."	"Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use formal speech from 19th century English."	0.08406495360884128	0.017697451541533012
52	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use speech patterns common in Victorian literature."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use formal speech from 19th century English."	0.06222836739338205	0.01769745154153302
38	"Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.06816142843506276	0.018030372273280474
